No.,Title,Members,Status,Scope,Type,Upgraded,Upgraded Status,Year of Signature (Upgraded),Year of Enforcement/Termination (Upgraded),Trade in Goods,Year of Signature (Goods),Year of Enforcement/ Termination (Goods),WTO Notification  (Goods),WTO Notification Link,WTO Notification Year (Goods),WTO Consideration Process (Goods),SPS/TBT ,Anti-Dumping Duty, Safeguard,Trade in Services,Year of Signature (Services),Year of Enforcement/ Termination (Services),WTO Notification (Services),WTO Notification Year (Services),WTO Consideration Process (Services),Liberalization Approach (Services),Investment,Year of Signature (Investment),Year of Enforcement/ Termination  (Investment),Liberatlization approach (Investment),BIT (Source UNCTAD),Trade Facilitation & Customs Cooperation,Government Procurement,Competition Policy,Intellectual Property,Dispute Settlement,Temporary Movement of Natural Persons ,Sustainable Development Related Provisions,Sustainable Development by Concept,Labour protection,Human Rights,Gender,Health,Environment,SMEs,Technical Cooperation,Transparency,Financial Services,Telecommunications,E-commerce,"Online Consumer Protection 
(in E-commerce Chapter)","Personal Data Protection 
(in E-commerce Chapter)","Data flows 
(in E-commerce Chapter)",Link to website
235,Regional Comprehensive Economic Partnership (RCEP),Australia; Brunei Darussalam; Cambodia; China;  Indonesia; Japan; Republic of Korea; Lao People's Democratic Republic; Malaysia; Myanmar; New Zealand; Philippines; Singapore; Thailand; Viet Nam,Entry into Force,Plurilateral ,FTA & EIA,No,No,No,No,Yes,2020,2022,2015,No,No,No report ,Yes,Yes,Yes,Yes,2020,N/A,No notification,No,No report,Negative,Yes,2020,N/A,Negative,Signed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://rcepsec.org/legal-text/
236,Republic of Korea-Canada,Republic of Korea; Canada,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2014,2015,2004,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=168,2015,Factual Presentation distributed,Yes,Yes,Yes,Yes,2014,2015,GATS Art. V,2015,Factual Presentation distributed,Negative,Yes,2014,2015,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/korea-coree/fta-ale/index.aspx?lang=eng
237,Republic of Korea-Chile,Republic of Korea; Chile,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2003,2004,2016,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=53,2004,Factual Presentation distributed,Yes,Yes,Yes,Yes,2003,2004,GATS Art. V,2004,Factual Abstract distributed ,Negative,Yes,2003,2004,Negative,Terminated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,http://www.fta.go.kr/webmodule/_PSD_FTA/cl/1/Text_of_Agreement_eng.pdf
238,Republic of Korea-Colombia,Republic of Korea; Colombia,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2013,2016,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=695,2016,Factual Presentation distributed,Yes,Yes,Yes,Yes,2013,2016,GATS Art. V,2016,Factual Presentation distributed,Negative,Yes,2013,2016,Negative,Signed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.sice.oas.org/trade/col_kor_fta_e/index19.11.2013_e.asp
239,Republic of Korea-Ecuador,Republic of Korea; Ecuador,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/ECU_KOR/ECU_KOR_e.ASP
240,Republic of Korea-Eurasian Economic Union (EAEU),Republic of Korea; Armenia; Belarus; Kazakhstan; Kyrgyzstan; Russian Federation,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2006,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.korea.net/NewsFocus/Business/view?articleId=145283
241,Republic of Korea-European Free Trade Association (EFTA),Republic of Korea; Iceland; Liechtenstein; Norway; Switzerland,Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2005,2006,2011,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=21,2006,Factual Presentation distributed,Yes,Yes,Yes,Yes,2005,2006,GATS Art. V,2006,Factual Presentation distributed,Positive,No,2005,2006,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,http://www.efta.int/free-trade/free-trade-agreements/korea
242,Republic of Korea-European Union (EU),Republic of Korea; European Union (EU),Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2010,2011,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=167,2011,Factual Presentation distributed,Yes,Yes,Yes,Yes,2010,2011,GATS Art. V,2011,Factual Presentation distributed,Positive,Yes,2010,2011,Positive,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.fta.go.kr/webmodule/_PSD_FTA/eu/doc/Full_Text.pdf
243,Republic of Korea-European Union (EU) Digital Trade Agreement ,Republic of Korea; European Union (EU),Under Negotiation,Bilateral,Digital,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://policy.trade.ec.europa.eu/news/joint-statement-launch-negotiations-eu-korea-digital-trade-agreement-2023-10-31_en
244,Republic of Korea-Gulf Cooperation Council (GCC),Republic of Korea; Bahrain; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2022,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gcc-sg.org/ar-sa/MediaCenter/NewsCooperation/News/Pages/NEWS-2023-12-28-3.aspx
245,Republic of Korea-Israel,Republic of Korea; Israel,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2021,2022,N/A,No,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,No,https://www.gov.il/BlobFolder/policy/israel-south-korea-fta/he/sahar-hutz_agreements_fta-korea-il-en.pdf
246,Republic of Korea-Mexico,Republic of Korea; Mexico,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,2015,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=165,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"http://www.sice.oas.org/TPD/MEX_KOR/MEX_KOR_e.ASP#:~:text=SICE%3A%20Trade%20Policy%20Developments%3A%20MEXICO%2DSOUTH%20KOREA&text=On%208%20August%202007%20Mexico,talks%20on%20Korea%2DMexico%20FTA."
247,Republic of Korea-New Zealand,Republic of Korea; New Zealand,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2015,2015,2011,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=643,2015,Factual Presentation distributed  ,Yes,Yes,Yes,Yes,2015,2015,GATS Art. V,2015,Factual Presentation distributed,Negative,Yes,2015,2015,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,http://www.fta.go.kr/webmodule/_PSD_FTA/nz/2/KR_NZ_ENG.pdf
248,Republic of Korea-Peru,Republic of Korea; Peru,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2011,2011,2019,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=645,2011,Factual Presentation distributed,Yes,Yes,Yes,Yes,2011,2011,GATS Art. V,2011,Factual Presentation distributed,Negative,Yes,2011,2011,Negative,Terminated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.sice.oas.org/TPD/PER_KOR/PER_KOR_e.ASP
249,Republic of Korea-Republics of Central America,Republic of Korea; Costa Rica; El Salvador; Honduras; Nicaragua; Panama,Entry into Force,Plurilateral,FTA & EIA,No,No,No,No,Yes,2018,2019,N/A,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=901,2021,Factual Presentation distributed,Yes,Yes,Yes,Yes,2018,2020,GATS Art. V,2021,Factual Presentation distributed,Negative,Yes,2018,2020,Negative,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.sice.oas.org/TPD/CACM_KOR/CACM_KOR_e.ASP#EiF
250,Republic of Korea-Russian Federation,Republic of Korea;  Armenia; Belarus; Kyrgyzstan;Kazakhastan; Russian Federation,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2006,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/korea-russia-bilateral-economic-partnership-agreement
251,Republic of Korea-Singapore,Republic of Korea; Singapore,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2005,2006,2023,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=28,2006,Factual Presentation distributed,Yes,Yes,Yes,Yes,2005,2006,GATS Art. V,2006,Factual Presentation distributed,Negative,Yes,2005,2006,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/korea-singapore-fta/legal-text/ksfta20legal20text1.pdf
252,Republic of Korea-Singapore Digital Partneship Agreement ,Republic of Korea; Singapore,Entry into Force,Bilateral,Digital,No,No,No,No,Yes,2022,2023,N/A,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,https://www.fta.go.kr/webmodule/_PSD_FTA/ksdpa/1/DPA_eng.pdf
253,Republic of Korea-Southern Common Market (MERCOSUR),Republic of Korea; Argentina; Brazil; Paraguay; Uruguay,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,2013,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/MER_KOR/MER_KOR_e.ASP
254,Republic of Korea-Türkiye,Republic of Korea; Türkiye,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2012,2013,N/A,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=699,2013,Factual Presentation distributed,Yes,Yes,Yes,Yes,2015,2018,GATS Art. V,2022,Factual Presentation distributed,Positive,Yes,2015,2018,Positive,Terminated,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,https://www.trade.gov.tr/free-trade-agreements/republic-of-korea
255,Republic of Korea-United Arab Emirates ,Republic of Korea; United Arab Emirates ,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.koreaherald.com/view.php?ud=20231004000181
256,Republic of Korea-United Kingdom (Upgrade),Republic of Korea; United Kingdom,Entry into Force,Bilateral,FTA & EIA,Yes,Under Negotiation,No,No,Yes,2019,2021,2012,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1113,2020,Factual Presentation currently being drafted,Yes,Yes,Yes,Yes,2019,2019,GATS Art. V,2021,Factual Presentation currently being drafted,Positive,Yes,2019,2019,Positive,In force,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://www.gov.uk/government/publications/ukkorea-free-trade-agreement-with-exchange-of-notes-cs-korea-no12019
257,Republic of Korea-United States of America,Republic of Korea; United States of America,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2007,2012,2015,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=183,2012,Factual Presentation distributed,Yes,Yes,Yes,Yes,2007,2012,GATS Art. V,2012,Factual Presentation distributed,Negative,Yes,2007,2012,Negative,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://ustr.gov/trade-agreements/free-trade-agreements/korus-fta/final-text
258,Republic of Korea-Viet Nam,Republic of Korea; Viet Nam,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2015,2015,2006 / 2019,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=709,2016,Factual Presentation not distributed  ,Yes,Yes,Yes,Yes,2015,2015,GATS Art. V,2016,Factual Presentation not distributed ,Positive,Yes,2015,2015,Negative,In force,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://wtocenter.vn/chuyen-de/12689-vkfta-full-content
259,Russian Federation-Serbia,Russian Federation; Serbia,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2000,2006 / 2019,1993,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=858,2012,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/858/TOA/English/Russia-Yugoslavia FTA_text with protocols_Republic of Serbia.doc
260,Russian Federation-Turkmenistan,Russian Federation; Turkmenistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1992,1993,1993,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=862,2013,Factual Presentation not distributed  ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/862/TOA/English/Text of Agreement RF-Turkmenistan.docx
261,Russian Federation-Uzbekistan,Russian Federation; Uzbekistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1992,1993,2012 / 2019,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=861,2013,Factual Presentation not distributed  ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/861/TOA/English/Text of Agreement RF-Uzbekistan.docx
262,Singapore-Canada,Singapore; Canada,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=164,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/singapore-singapour/fta-ale/background-contexte.aspx?lang=eng
263,Singapore-Costa Rica,Singapore; Costa Rica,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2010,2013,2013,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=678,2013,Factual Presentation distributed,Yes,Yes,Yes,Yes,2010,2013,GATS Art. V,2013,Factual Presentation distributed,Negative,Yes,2010,2013,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,http://www.sice.oas.org/Trade/CRI_SGP_FTA/Index_e.asp
264,Singapore-Eurasian Economic Union (EAEU),Singapore; Armenia; Belarus; Kazakhstan; Kyrgyzstan; Russian Federation ,Signed & Pending ratification,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2019,No,No,No,No,No report ,Yes,No,No,Yes,N/A,N/A,No notification,No,No report,N/A,Yes,N/A,N/A,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,N/A,N/A,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,Yes,https://www.mti.gov.sg/-/media/MTI/Newsroom/Press-Releases/2019/09/Press-release-on-EAEUSFTA-signing.pdf
265,Singapore-European Free Trade Association (EFTA),Singapore; Iceland; Liechtenstein; Norway; Switzerland,Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2002,2003,2003,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=65,2003,Factual Abstract distributed ,Yes,Yes,Yes,Yes,2002,2003,GATS Art. V,2003,Factual Abstract distributed,Positive,Yes,2002,2003,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,N/A,N/A,N/A,No,No,Yes,Yes,No,No,No,No,No,No,https://www.efta.int/free-trade/free-trade-agreements/singapore
266,Singapore-European Free Trade Association (EFTA) Digital Economy Agreement,Singapore; Iceland; Liechtenstein; Norway; Switzerland,Under Negotiation,Bilateral,Digital,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.efta.int/free-trade/free-trade-agreements/singapore
267,Singapore-European Union (EU),Singapore; European Union (EU),Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2018,2019,2019,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=847,2020,Factual Presentation being finalized,Yes,Yes,Yes,Yes,2018,2019,GATS Art. V,2020,Factual Presentation being finalized,Positive ,Yes,2018,2019,Positive,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2019:294:FULL&from=EN
268,Singapore-Gulf Cooperation Council (GCC) (Upgrade),Singapore; Bahrain; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,Entry into Force,Country - Bloc,FTA & EIA,Yes,Under Negotiation,No,No,Yes,2008,2013,2013,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=921,2015,Factual Presentation distributed,Yes,Yes,Yes,Yes,2008,2013,GATS Art. V,2015,Factual Presentation distributed,Positive,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,https://www.enterprisesg.gov.sg/-/media/ESG/Files/Non-Financial-Assistance/For-Companies/Free-Trade-Agreements/GSFTA/GSFTA_Legal_Text
269,Singapore-Jordan,Singapore; Jordan,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2004,2005,2005,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=23,2006,Factual Presentation distributed,No,Yes,Yes,Yes,2004,2005,GATS Art. V,2006,Factual Presentation distributed,Positive,Yes,2004,2005,Positive,In force,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/hashemite_kingdom_of_jordan/legal_text/sjfta_legal_text.pdf?la=en
270,Singapore-Mexico,Singapore; Mexico,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,In force,N/A,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/MEX_SGP/Negotiations/JointDecl_e.pdf
271,Singapore-Pacific Alliance,Singapore; Chile; Colombia; Mexico; Peru,Signed & Pending ratification,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes ,2022,N/A,N/A,N/A,N/A,No report ,N/A,N/A,N/A,Yes,2022,N/A,No notification,N/A,N/A,N/A,No,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Yes,Yes,Yes,http://www.sice.oas.org/TPD/CAN_PAC/CAN_PAC_e.ASP
272,Singapore-Panama,Singapore; Panama,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2006,2006,2006,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=11,2007,Factual Presentation distributed,Yes,Yes,Yes,Yes,2006,2006,GATS Art. V,2007,Factual Presentation distributed,Negative,Yes,2006,2006,Negative,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/PSFTA/Legal_text/PSFTA_Legal_Text.pdf
273,Singapore-Peru,Singapore; Peru,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2008,2009,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=495,2009,Factual Presentation distributed,Yes,Yes,Yes,Yes,2008,2009,GATS Art. V,2009,Factual Presentation distributed,Negative,Yes,2008,2009,Negative,Terminated,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,http://www.sice.oas.org/TPD/PER_SGP/Final_Texts_PER_SGP_e/index_e.asp
274,Singapore-Southern Common Market (MERCOSUR),Argentina; Brazil; Paraguay; Singapore; Uruguay,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sice.oas.org/TPD/MER_SGP/MER_SGP_e.asp
275,Singapore-Sri Lanka,Singapore; Sri Lanka,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2018,2018,2018,No,No,No report ,Yes,Yes,Yes,Yes,2018,2018,No notification,No,No report,Negative,Yes,2018,2018,Negative,Terminated,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/sri_lanka_singapore_fta/sri-lanka-legal-text-slsfta.pdf
276,Singapore-Taiwan Province of China,Singapore; Taiwan Provice of China,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2013,2014,2014,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=890,2014,Factual Presentation distributed,Yes,Yes,Yes,Yes,2013,2014,GATS Art. V,2014,Factual Presentation distributed,Negative,Yes,2013,2014,Negative,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=890
277,Singapore-Türkiye,Singapore; Türkiye,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2015,2017,2017,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=935,2018,Factual Presentation distributed,Yes,Yes,Yes,Yes,2015,2017,GATS Art. V,2018,Factual Presentation distributed,Negative,Yes,2015,2017,Negative,Terminated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/trsfta/turkey-legal-text-trsfta.pdf?la=en
